5.690836653386454058e-01,5.732389116660454587e-01,4.966096222150468420e-01,5.321799307958477998e-01
6.106772908366533414e-01,5.801470588235294601e-01,7.642880206651598840e-01,6.596070781663648797e-01
6.215139442231075728e-01,5.905215646940822349e-01,7.604133031966419098e-01,6.647847565278757198e-01
6.407968127490040189e-01,6.157013450452923919e-01,7.242492734904746321e-01,6.655786350148368280e-01
6.583266932270915861e-01,6.497015394282124046e-01,6.677429770745882953e-01,6.585987261146497573e-01
6.693227091633465742e-01,7.120331950207469118e-01,5.540845979980626446e-01,6.232068276738695900e-01
6.049402390438246568e-01,8.322580645161290480e-01,2.499192767194058640e-01,3.844052644648621730e-01
5.475697211155378108e-01,8.563535911602210282e-01,1.000968679367129494e-01,1.792425556519225416e-01
5.266932270916334646e-01,9.205298013245033495e-01,4.488214401033258083e-02,8.559113300492611487e-02
5.155378486055777199e-01,9.672131147540983243e-01,1.905069422021310813e-02,3.736542115262824620e-02
5.090039840637450297e-01,9.000000000000000222e-01,5.812076202776880578e-03,1.154956689124157776e-02
5.064541832669322563e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.064541832669322563e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
