5.090000000000000080e-01,4.980544747081712131e-01,5.235173824130879838e-01
6.019999999999999796e-01,5.850467289719626374e-01,6.400817995910020874e-01
6.069999999999999840e-01,5.863309352517985795e-01,6.666666666666666297e-01
6.139999999999999902e-01,5.898778359511344105e-01,6.912065439672802070e-01
6.109999999999999876e-01,5.859106529209622272e-01,6.973415132924335458e-01
6.179999999999999938e-01,5.887230514096185585e-01,7.259713701431492749e-01
6.059999999999999831e-01,5.764895330112721483e-01,7.321063394683026138e-01
6.049999999999999822e-01,5.729813664596273837e-01,7.546012269938650041e-01
6.039999999999999813e-01,5.716486902927581104e-01,7.586912065439672670e-01
6.049999999999999822e-01,5.718654434250765028e-01,7.648261758691206058e-01
6.089999999999999858e-01,5.740181268882175170e-01,7.770961145194273945e-01
6.109999999999999876e-01,5.764525993883792276e-01,7.709611451942740556e-01
6.059999999999999831e-01,5.703703703703704164e-01,7.873210633946829962e-01
5.949999999999999734e-01,5.617647058823529438e-01,7.811860940695296573e-01
5.869999999999999662e-01,5.560471976401180072e-01,7.709611451942740556e-01
5.819999999999999618e-01,5.519765739385066317e-01,7.709611451942740556e-01
5.829999999999999627e-01,5.524781341107871668e-01,7.750511247443763185e-01
5.839999999999999636e-01,5.532846715328466614e-01,7.750511247443763185e-01
5.789999999999999591e-01,5.488505747126436463e-01,7.811860940695296573e-01
5.839999999999999636e-01,5.513361462728550988e-01,8.016359918200408607e-01
