max_df,min_df,max_features,actual_words,acc,prec,rec,f1,K,alpha,timeKNN,timePCA
0.2,0.1,10000,114,0.6176892430278884,0.6204278812974465,0.5805618340329352,0.5998331943286073,25,0,28.133566856384277,6.198883056640625e-06
0.2,0.1,10000,114,0.6487649402390439,0.643154857326066,0.6477236034872457,0.6454311454311454,250,0,16.616714000701904,6.198883056640625e-06
0.2,0.1,10000,114,0.6546613545816733,0.65892002734108,0.6225379399418792,0.6402125186783995,450,0,18.31249499320984,6.198883056640625e-06
0.2,0.1,10000,114,0.6543426294820717,0.6632653061224489,0.60865353567969,0.6347870011786496,550,0,16.33946204185486,6.198883056640625e-06
0.2,0.1,10000,114,0.6557768924302789,0.637834657252133,0.7000322893122376,0.6674876847290641,800,0,15.760169982910156,6.198883056640625e-06
0.2,0.1,10000,114,0.6200796812749004,0.5798432250839866,0.8359702938327414,0.6847394869082254,1500,0,16.639230966567993,6.198883056640625e-06
0.2,0.1,10000,114,0.6194422310756972,0.6358758144883097,0.5356796900226025,0.5814931650893795,25,10,3.9684982299804688,0.20971989631652832
0.2,0.1,10000,114,0.6203984063745019,0.6598122485471614,0.4765902486277042,0.5534308211473565,250,10,3.831573963165283,0.20971989631652832
0.2,0.1,10000,114,0.623585657370518,0.685699848408287,0.4381659670649015,0.5346729708431837,450,10,3.300326108932495,0.20971989631652832
0.2,0.1,10000,114,0.6250199203187251,0.6949685534591195,0.4281562802712302,0.5298701298701299,550,10,3.6166129112243652,0.20971989631652832
0.2,0.1,10000,114,0.6210358565737052,0.7046101309049516,0.3997416855020988,0.5100947672023073,800,10,3.5376458168029785,0.20971989631652832
0.2,0.1,10000,114,0.6066932270916334,0.7373584905660377,0.315466580561834,0.4418815015829941,1500,10,3.320754051208496,0.20971989631652832
0.2,0.1,10000,114,0.6122709163346614,0.6175637393767706,0.5631256054246044,0.5890896807971626,25,50,12.590075969696045,0.7071177959442139
0.2,0.1,10000,114,0.6398406374501993,0.6550574286772879,0.5708750403616403,0.6100759144237404,250,50,11.308288097381592,0.7071177959442139
0.2,0.1,10000,114,0.6489243027888446,0.6752941176470588,0.5560219567323216,0.6098813529307596,450,50,12.10236382484436,0.7071177959442139
0.2,0.1,10000,114,0.6457370517928287,0.666793893129771,0.564094284791734,0.6111596991429071,550,50,11.805360794067383,0.7071177959442139
0.2,0.1,10000,114,0.6465338645418327,0.6463536463536463,0.6267355505327736,0.6363934426229508,800,50,10.719344854354858,0.7071177959442139
0.2,0.1,10000,114,0.6514741035856574,0.6506622516556292,0.6344849854698095,0.6424717999019127,1500,50,12.295145034790039,0.7071177959442139
0.2,0.05,10000,330,0.6610358565737052,0.620049504950495,0.8088472715531159,0.7019756200084069,25,0,58.108184814453125,1.5974044799804688e-05
0.2,0.05,10000,330,0.5928286852589641,0.5497247706422018,0.9673877946399742,0.701064701064701,250,0,62.9956636428833,1.5974044799804688e-05
0.2,0.05,10000,330,0.5778486055776892,0.5400142908181493,0.9761059089441395,0.6953421506612996,450,0,63.6280632019043,1.5974044799804688e-05
0.2,0.05,10000,330,0.5760956175298805,0.5389830508474577,0.9754601226993865,0.6943231441048036,550,0,63.64869666099548,1.5974044799804688e-05
0.2,0.05,10000,330,0.5751394422310757,0.5385027693407183,0.9731998708427511,0.6933517368299977,800,0,63.40557384490967,1.5974044799804688e-05
0.2,0.05,10000,330,0.6358565737051792,0.5795142969056013,0.9554407491120439,0.7214433743752285,1500,0,61.49846792221069,1.5974044799804688e-05
0.2,0.05,10000,330,0.6653386454183267,0.6780993211861379,0.6128511462705845,0.6438263229308006,25,10,4.207166910171509,1.6990010738372803
0.2,0.05,10000,330,0.68,0.70950365525202,0.5954149176622537,0.6474719101123596,250,10,4.166584253311157,1.6990010738372803
0.2,0.05,10000,330,0.6795219123505976,0.7264386989157632,0.5624798191798515,0.6340309372156506,450,10,3.4849460124969482,1.6990010738372803
0.2,0.05,10000,330,0.6833466135458167,0.7361702127659574,0.5586051017113336,0.6352120433266019,550,10,3.7628910541534424,1.6990010738372803
0.2,0.05,10000,330,0.6814342629482072,0.743566992014197,0.5411688731030029,0.6264249672958325,800,10,3.532291889190674,1.6990010738372803
0.2,0.05,10000,330,0.6677290836653387,0.7600205549845838,0.47755892799483374,0.5865556216537775,1500,10,3.5679821968078613,1.6990010738372803
0.2,0.05,10000,330,0.6639043824701195,0.6644474034620506,0.6444946722634808,0.6543189641042453,25,50,12.034612894058228,5.587686777114868
0.2,0.05,10000,330,0.7078884462151395,0.7050616482803375,0.7016467549241201,0.7033500566434698,250,50,13.687817096710205,5.587686777114868
0.2,0.05,10000,330,0.7115537848605578,0.7029328287606433,0.7197287697772038,0.7112316528398215,450,50,10.859390020370483,5.587686777114868
0.2,0.05,10000,330,0.7096414342629482,0.6985362815322329,0.7242492734904746,0.7111604311984782,550,50,11.079901933670044,5.587686777114868
