5.142629482071713332e-01,5.167007498295841383e-01,2.447529867613819909e-01,3.321647677475898508e-01
5.966533864541833099e-01,6.454265159301130206e-01,4.055537617048756704e-01,4.981162006742018145e-01
6.374501992031872399e-01,6.899260628465804235e-01,4.820794317081046332e-01,5.675727048089717064e-01
6.435059760956175490e-01,6.890941072999120509e-01,5.059735227639651223e-01,5.835040029789611005e-01
6.570517928286853104e-01,6.930935839803841203e-01,5.476267355505327616e-01,6.118326118326118390e-01
6.607171314741036028e-01,6.904012588512982163e-01,5.666774297707458663e-01,6.224507891470119070e-01
6.615139442231076083e-01,6.880556629300348392e-01,5.747497578301582477e-01,6.263194933145672660e-01
6.627888446215139950e-01,6.835016835016834991e-01,5.899257345818533782e-01,6.332755632582320882e-01
6.680478087649401875e-01,6.826368876080691761e-01,6.118824669034549357e-01,6.453260684488336674e-01
6.594422310756972161e-01,6.698513800424628073e-01,6.112366806587019585e-01,6.392031065338510398e-01
